element,symbol,A,mass_u,abundance_percent,stable
Hydrogen,H,1,1.00782503223,99.9885,True
Hydrogen,D,2,2.01410177812,0.0115,True
Helium,He,3,3.0160293201,0.000134,True
Helium,He,4,4.00260325413,99.999866,True
Lithium,Li,6,6.0151228874,7.59,True
Lithium,Li,7,7.0160034366,92.41,True
Beryllium,Be,9,9.012183065,100.0,True
Boron,B,10,10.01293695,19.900000000000002,True
Boron,B,11,11.00930536,80.10000000000001,True
Carbon,C,12,12.0,98.92999999999999,True
Carbon,C,13,13.00335483507,1.0699999999999998,True
Nitrogen,N,14,14.00307400443,99.636,True
Nitrogen,N,15,15.00010889888,0.364,True
Oxygen,O,16,15.99491461957,99.75699999999999,True
Oxygen,O,17,16.9991317565,0.038,True
Oxygen,O,18,17.99915961286,0.20500000000000002,True
Fluorine,F,19,18.99840316273,100.0,True
Neon,Ne,20,19.9924401762,90.48,True
Neon,Ne,21,20.993846685,0.27,True
Neon,Ne,22,21.991385114,9.25,True
Sodium,Na,23,22.989769282,100.0,True
Magnesium,Mg,24,23.985041697,78.99000000000001,True
Magnesium,Mg,25,24.985836976,10.0,True
Magnesium,Mg,26,25.982592968,11.01,True
Aluminium,Al,27,26.98153853,100.0,True
Silicon,Si,28,27.97692653465,92.223,True
Silicon,Si,29,28.9764946649,4.6850000000000005,True
Silicon,Si,30,29.973770136,3.092,True
Phosphorus,P,31,30.97376199842,100.0,True
Sulfur,S,32,31.9720711744,94.99,True
Sulfur,S,33,32.9714589098,0.75,True
Sulfur,S,34,33.967867004,4.25,True
Sulfur,S,36,35.96708071,0.01,True
Chlorine,Cl,35,34.968852682,75.76,True
Chlorine,Cl,37,36.965902602,24.240000000000002,True
Argon,Ar,36,35.967545105,0.3336,True
Argon,Ar,38,37.96273211,0.0629,True
Argon,Ar,40,39.9623831237,99.6035,True
Potassium,K,39,38.9637064864,93.2581,True
Potassium,K,40,39.963998166,0.0117,True
Potassium,K,41,40.9618252579,6.7302,True
Calcium,Ca,40,39.962590863,96.941,True
Calcium,Ca,42,41.95861783,0.647,True
Calcium,Ca,43,42.95876644,0.135,True
Calcium,Ca,44,43.95548156,2.086,True
Calcium,Ca,46,45.953689,0.004,True
Calcium,Ca,48,47.95252276,0.187,True
Scandium,Sc,45,44.95590828,100.0,True
Titanium,Ti,46,45.95262772,8.25,True
Titanium,Ti,47,46.95175879,7.4399999999999995,True
Titanium,Ti,48,47.94794198,73.72,True
Titanium,Ti,49,48.94786568,5.41,True
Titanium,Ti,50,49.94478689,5.18,True
Vanadium,V,50,49.94715601,0.25,True
Vanadium,V,51,50.94395704,99.75,True
Chromium,Cr,50,49.94604183,4.345000000000001,True
Chromium,Cr,52,51.94050623,83.789,True
Chromium,Cr,53,52.94064815,9.501,True
Chromium,Cr,54,53.93887916,2.365,True
Manganese,Mn,55,54.93804391,100.0,True
Iron,Fe,54,53.93960899,5.845000000000001,True
Iron,Fe,56,55.93493633,91.754,True
Iron,Fe,57,56.93539284,2.119,True
Iron,Fe,58,57.93327443,0.28200000000000003,True
Cobalt,Co,59,58.93319429,100.0,True
Nickel,Ni,58,57.93534241,68.077,True
Nickel,Ni,60,59.93078588,26.223000000000003,True
Nickel,Ni,61,60.93105557,1.1399,True
Nickel,Ni,62,61.92834537,3.6346000000000003,True
Nickel,Ni,64,63.92796682,0.9255,True
Copper,Cu,63,62.92959772,69.15,True
Copper,Cu,65,64.9277897,30.85,True
Zinc,Zn,64,63.92914201,49.17,True
Zinc,Zn,66,65.92603381,27.73,True
Zinc,Zn,67,66.92712775,4.04,True
Zinc,Zn,68,67.92484455,18.45,True
Zinc,Zn,70,69.9253192,0.61,True
Gallium,Ga,69,68.9255735,60.108,True
Gallium,Ga,71,70.92470258,39.892,True
Germanium,Ge,70,69.92424875,20.57,True
Germanium,Ge,72,71.922075826,27.450000000000003,True
Germanium,Ge,73,72.923458956,7.75,True
Germanium,Ge,74,73.921177761,36.5,True
Germanium,Ge,76,75.921402726,7.7299999999999995,True
Arsenic,As,75,74.92159457,100.0,True
Selenium,Se,74,73.922475934,0.89,True
Selenium,Se,76,75.919213704,9.370000000000001,True
Selenium,Se,77,76.919914154,7.630000000000001,True
Selenium,Se,78,77.91730928,23.77,True
Selenium,Se,80,79.9165218,49.61,True
Selenium,Se,82,81.9166995,8.73,True
Bromine,Br,79,78.9183376,50.690000000000005,True
Bromine,Br,81,80.9162897,49.309999999999995,True
Krypton,Kr,78,77.92036494,0.35500000000000004,True
Krypton,Kr,80,79.91637808,2.286,True
Krypton,Kr,82,81.91348273,11.593,True
Krypton,Kr,83,82.91412716,11.5,True
Krypton,Kr,84,83.9114977282,56.987,True
Krypton,Kr,86,85.9106106269,17.279,True
Rubidium,Rb,85,84.9117897379,72.17,True
Rubidium,Rb,87,86.909180531,27.83,True
Strontium,Sr,84,83.9134191,0.5599999999999999,True
Strontium,Sr,86,85.9092606,9.86,True
Strontium,Sr,87,86.9088775,7.000000000000001,True
Strontium,Sr,88,87.9056125,82.58,True
Yttrium,Y,89,88.9058403,100.0,True
Zirconium,Zr,90,89.9046977,51.449999999999996,True
Zirconium,Zr,91,90.9056396,11.219999999999999,True
Zirconium,Zr,92,91.9050347,17.150000000000002,True
Zirconium,Zr,94,93.9063108,17.380000000000003,True
Zirconium,Zr,96,95.9082714,2.8000000000000003,True
Niobium,Nb,93,92.906373,100.0,True
Molybdenum,Mo,92,91.90680796,14.530000000000001,True
Molybdenum,Mo,94,93.9050849,9.15,True
Molybdenum,Mo,95,94.90583877,15.840000000000002,True
Molybdenum,Mo,96,95.90467612,16.669999999999998,True
Molybdenum,Mo,97,96.90601812,9.6,True
Molybdenum,Mo,98,97.90540482,24.39,True
Molybdenum,Mo,100,99.9074718,9.82,True
Ruthenium,Ru,96,95.90759025,5.54,True
Ruthenium,Ru,98,97.9052868,1.87,True
Ruthenium,Ru,99,98.9059341,12.76,True
Ruthenium,Ru,100,99.9042143,12.6,True
Ruthenium,Ru,101,100.9055769,17.06,True
Ruthenium,Ru,102,101.9043441,31.55,True
Ruthenium,Ru,104,103.9054275,18.62,True
Rhodium,Rh,103,102.905498,100.0,True
Palladium,Pd,102,101.9056022,1.02,True
Palladium,Pd,104,103.9040305,11.14,True
Palladium,Pd,105,104.9050796,22.33,True
Palladium,Pd,106,105.9034804,27.33,True
Palladium,Pd,108,107.9038916,26.46,True
Palladium,Pd,110,109.9051722,11.72,True
Silver,Ag,107,106.9050916,51.839,True
Silver,Ag,109,108.9047553,48.161,True
Cadmium,Cd,106,105.9064599,1.25,True
Cadmium,Cd,108,107.9041834,0.89,True
Cadmium,Cd,110,109.90300661,12.49,True
Cadmium,Cd,111,110.90418287,12.8,True
Cadmium,Cd,112,111.90276287,24.13,True
Cadmium,Cd,113,112.90440813,12.22,True
Cadmium,Cd,114,113.90336509,28.73,True
Cadmium,Cd,116,115.90476315,7.489999999999999,True
Indium,In,113,112.90406184,4.29,True
Indium,In,115,114.903878776,95.71,True
Tin,Sn,112,111.90482387,0.97,True
Tin,Sn,114,113.9027827,0.66,True
Tin,Sn,115,114.903344699,0.33999999999999997,True
Tin,Sn,116,115.9017428,14.540000000000001,True
Tin,Sn,117,116.90295398,7.68,True
Tin,Sn,118,117.90160657,24.22,True
Tin,Sn,119,118.90331117,8.59,True
Tin,Sn,120,119.90220163,32.58,True
Tin,Sn,122,121.9034438,4.63,True
Tin,Sn,124,123.9052766,5.79,True
Antimony,Sb,121,120.903812,57.21000000000001,True
Antimony,Sb,123,122.9042132,42.79,True
Tellurium,Te,120,119.9040593,0.09,True
Tellurium,Te,122,121.9030435,2.55,True
Tellurium,Te,123,122.9042698,0.89,True
Tellurium,Te,124,123.9028171,4.74,True
Tellurium,Te,125,124.9044299,7.07,True
Tellurium,Te,126,125.9033109,18.84,True
Tellurium,Te,128,127.90446128,31.740000000000002,True
Tellurium,Te,130,129.906222748,34.08,True
Iodine,I,127,126.9044719,100.0,True
Xenon,Xe,124,123.905892,0.0952,True
Xenon,Xe,126,125.9042983,0.089,True
Xenon,Xe,128,127.903531,1.9102000000000001,True
Xenon,Xe,129,128.9047808611,26.4006,True
Xenon,Xe,130,129.903509349,4.071000000000001,True
Xenon,Xe,131,130.90508406,21.232400000000002,True
Xenon,Xe,132,131.9041550856,26.9086,True
Xenon,Xe,134,133.90539466,10.4357,True
Xenon,Xe,136,135.907214484,8.8573,True
Cesium,Cs,133,132.905451961,100.0,True
Barium,Ba,130,129.9063207,0.106,True
Barium,Ba,132,131.9050611,0.101,True
Barium,Ba,134,133.90450818,2.4170000000000003,True
Barium,Ba,135,134.90568838,6.5920000000000005,True
Barium,Ba,136,135.90457573,7.854,True
Barium,Ba,137,136.90582714,11.232000000000001,True
Barium,Ba,138,137.905247,71.698,True
Lanthanum,La,138,137.9071149,0.08881,True
Lanthanum,La,139,138.9063563,99.91119,True
Cerium,Ce,136,135.90712921,0.185,True
Cerium,Ce,138,137.905991,0.251,True
Cerium,Ce,140,139.9054431,88.44999999999999,True
Cerium,Ce,142,141.9092504,11.114,True
Praseodymium,Pr,141,140.9076576,100.0,True
Neodymium,Nd,142,141.907729,27.151999999999997,True
Neodymium,Nd,143,142.90982,12.174,True
Neodymium,Nd,144,143.910093,23.798,True
Neodymium,Nd,145,144.9125793,8.293000000000001,True
Neodymium,Nd,146,145.9131226,17.189,True
Neodymium,Nd,148,147.9168993,5.756,True
Neodymium,Nd,150,149.9209022,5.638,True
Samarium,Sm,144,143.9120065,3.0700000000000003,True
Samarium,Sm,147,146.9149044,14.99,True
Samarium,Sm,148,147.9148292,11.24,True
Samarium,Sm,149,148.9171921,13.819999999999999,True
Samarium,Sm,150,149.9172829,7.380000000000001,True
Samarium,Sm,152,151.9197397,26.75,True
Samarium,Sm,154,153.9222169,22.75,True
Europium,Eu,151,150.9198578,47.81,True
Europium,Eu,153,152.921238,52.190000000000005,True
Gadolinium,Gd,152,151.9197995,0.2,True
Gadolinium,Gd,154,153.9208741,2.18,True
Gadolinium,Gd,155,154.9226305,14.799999999999999,True
Gadolinium,Gd,156,155.9221312,20.47,True
Gadolinium,Gd,157,156.9239686,15.65,True
Gadolinium,Gd,158,157.9241123,24.84,True
Gadolinium,Gd,160,159.9270624,21.86,True
Terbium,Tb,159,158.9253547,100.0,True
Dysprosium,Dy,156,155.9242847,0.055999999999999994,True
Dysprosium,Dy,158,157.9244159,0.095,True
Dysprosium,Dy,160,159.9252046,2.329,True
Dysprosium,Dy,161,160.9269405,18.889,True
Dysprosium,Dy,162,161.9268056,25.474999999999998,True
Dysprosium,Dy,163,162.9287383,24.895999999999997,True
Dysprosium,Dy,164,163.9291819,28.26,True
Holmium,Ho,165,164.9303288,100.0,True
Erbium,Er,162,161.9287884,0.13899999999999998,True
Erbium,Er,164,163.9292088,1.601,True
Erbium,Er,166,165.9302995,33.503,True
Erbium,Er,167,166.9320546,22.869,True
Erbium,Er,168,167.9323767,26.978,True
Erbium,Er,170,169.9354702,14.91,True
Thulium,Tm,169,168.9342179,100.0,True
Ytterbium,Yb,168,167.9338896,0.123,True
Ytterbium,Yb,170,169.9347664,2.9819999999999998,True
Ytterbium,Yb,171,170.9363302,14.09,True
Ytterbium,Yb,172,171.9363859,21.68,True
Ytterbium,Yb,173,172.9382151,16.103,True
Ytterbium,Yb,174,173.9388664,32.025999999999996,True
Ytterbium,Yb,176,175.9425764,12.995999999999999,True
Lutetium,Lu,175,174.9407752,97.40100000000001,True
Lutetium,Lu,176,175.9426897,2.5989999999999998,True
Hafnium,Hf,174,173.9400461,0.16,True
Hafnium,Hf,176,175.9414076,5.26,True
Hafnium,Hf,177,176.9432277,18.6,True
Hafnium,Hf,178,177.9437058,27.279999999999998,True
Hafnium,Hf,179,178.9458232,13.62,True
Hafnium,Hf,180,179.946557,35.08,True
Tantalum,Ta,180,179.9474648,0.01201,True
Tantalum,Ta,181,180.9479958,99.98799000000001,True
Tungsten,W,180,179.9467108,0.12,True
Tungsten,W,182,181.94820394,26.5,True
Tungsten,W,183,182.95022275,14.31,True
Tungsten,W,184,183.95093092,30.64,True
Tungsten,W,186,185.9543628,28.43,True
Rhenium,Re,185,184.9529545,37.4,True
Rhenium,Re,187,186.9557501,62.6,True
Osmium,Os,184,183.9524885,0.02,True
Osmium,Os,186,185.953835,1.59,True
Osmium,Os,187,186.9557474,1.96,True
Osmium,Os,188,187.9558352,13.239999999999998,True
Osmium,Os,189,188.9581442,16.150000000000002,True
Osmium,Os,190,189.9584437,26.26,True
Osmium,Os,192,191.961477,40.78,True
Iridium,Ir,191,190.9605893,37.3,True
Iridium,Ir,193,192.9629216,62.7,True
Platinum,Pt,190,189.9599297,0.012,True
Platinum,Pt,192,191.9610387,0.782,True
Platinum,Pt,194,193.9626809,32.86,True
Platinum,Pt,195,194.9647917,33.78,True
Platinum,Pt,196,195.96495209,25.21,True
Platinum,Pt,198,197.9678949,7.356,True
Gold,Au,197,196.96656879,100.0,True
Mercury,Hg,196,195.9658326,0.15,True
Mercury,Hg,198,197.9667686,9.969999999999999,True
Mercury,Hg,199,198.96828064,16.869999999999997,True
Mercury,Hg,200,199.96832659,23.1,True
Mercury,Hg,201,200.97030284,13.18,True
Mercury,Hg,202,201.9706434,29.86,True
Mercury,Hg,204,203.97349398,6.87,True
Thallium,Tl,203,202.9723446,29.520000000000003,True
Thallium,Tl,205,204.9744278,70.48,True
Lead,Pb,204,203.973044,1.4000000000000001,True
Lead,Pb,206,205.9744657,24.099999999999998,True
Lead,Pb,207,206.9758973,22.1,True
Lead,Pb,208,207.9766525,52.400000000000006,True
Bismuth,Bi,209,208.9803991,100.0,True
Thorium,Th,232,232.0380558,100.0,True
Protactinium,Pa,231,231.0358842,100.0,True
Uranium,U,234,234.0409523,0.005399999999999999,True
Uranium,U,235,235.0439301,0.7204,True
Uranium,U,238,238.0507884,99.27420000000001,True
